
hier geraten immer wieder irgendwelche bytes zwischenrein
Hier scheint es das EF zu sein

00:12:18.117 -> F3F3EC60EF9C FF1B938CFC67 E3EC1C90100C 00FCEF640400 9F00
00:12:18.149 -> F3F36C9073FF 73EC8CFC67E3 EC1C90101C1F FCEF6C0C009F 00
00:12:18.149 -> F3F36C9073FF 13938CFC67E3 EC1C9010EC73 FCEF6C04009F 00
00:12:18.149 -> F3F96C9073FF 13938CFC67E3 E41C9010EC73 FCEF6C04009F 00
00:12:18.181 -> F3F36C9073FF 13938CFC67E3 7C6383F01C1F FCEF6C04009F 00
00:12:18.181 -> F3F36C9073FF 13938CFC67E3 EC1C9010EC73 FCEF6C04009F 00
00:12:18.181 -> F3F36C9073FF 138F8C9F13EC 1C9010EC03FC EF6C04009F00 wobei es hier rein muss
00:12:18.213 -> F3F36C9073FF 13938CFC67E3 EC1C9010EC73 FCEF6C06009F 00
00:12:18.213 -> F3F36C9073FF 13938CFC67E3 EC1C9010EC73 FCEF6C06009F 00
